bun|1.3.14
chocolatey|2.7.3
chocolatey-compatibility.extension|1.0.0
chocolatey-core.extension|1.4.0
chocolatey-windowsupdate.extension|1.0.5
dotnet-6.0-sdk|6.0.428
dotnet-6.0-sdk-4xx|6.0.428
fzf|0.73.1
gh|2.95.0
git|2.55.0
git.install|2.55.0
KB2919355|1.0.20160915
KB2919442|1.0.20160915
KB2999226|1.0.20181019
KB3033929|1.0.5
KB3035131|1.0.3
KB3063858|1.0.0
KB3118401|1.0.5
make|4.4.1
mingw|16.1.0
mkcert|1.4.4
nvm|1.2.2.20251229
nvm.install|1.2.2.20251229
opencode|1.17.11
powershell-core|7.6.3
ripgrep|14.1.0
snoop|6.1.1
unzip|6.0.0.20250209
vcredist140|14.51.36247
firacode|6.2.0
nerd-fonts-firacode|3.3.0
nerd-fonts-jetbrainsmono|3.3.0
